ID,DataTime,Guid,CustomerConsumeID,CustomerConsumeNum,ObjectType,ObjectID,ObjectName,Brand,Fit,Spec,StockID,StockName,UnitPrice,Qty,Discount,TotalPrice,Frequency,DetailType,CarOwnerPackagesID,BranchStoreID,License
162,2017/05/22 16:28:13,5430c0d629d7418cb74aa77b010f6c59,33,KHXS20170522001021,Article,30317,机油7千,,,,0,,280,1,100,280,0,,0,1,91371100MA3DDG6A9X
163,2017/05/22 16:28:13,62fe5a4caa4c49958917a77b010f6c59,33,KHXS20170522001021,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
164,2017/05/22 16:28:13,6543b184a0984196a64fa77b010f6c59,33,KHXS20170522001021,Article,30342,空调系统清洗,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
165,2017/05/22 16:28:13,1718375b5f96414c8b25a77b010f6c59,33,KHXS20170522001021,Article,30343,蓄电池,,,,0,,350,1,100,350,0,,0,1,91371100MA3DDG6A9X
186,2017/05/22 17:01:53,8b0a55f6874d4309ac51a77b0118aad3,34,KHXS20170522001022,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
187,2017/05/22 17:01:53,95426577fd5a48949823a77b0118aad3,34,KHXS20170522001022,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
188,2017/05/22 17:01:53,d4b887b58cfe4d189f56a77b0118aad3,34,KHXS20170522001022,Article,30334,球龙套,,,,0,,110,1,100,110,0,,0,1,91371100MA3DDG6A9X
189,2017/05/22 17:01:53,6f78191def3743288527a77b0118aad3,34,KHXS20170522001022,Article,30334,球龙套,,,,0,,110,1,100,110,0,,0,1,91371100MA3DDG6A9X
190,2017/05/22 17:01:53,e221169e3e62477c856ba77b0118aad3,34,KHXS20170522001022,Article,30337,分油板,,,,0,,70,1,100,70,0,,0,1,91371100MA3DDG6A9X
191,2017/05/22 17:01:53,7e9e7717a2af407694b7a77b0118aad3,34,KHXS20170522001022,Article,30337,分油板,,,,0,,70,1,100,70,0,,0,1,91371100MA3DDG6A9X
192,2017/05/22 17:01:53,061d19fe018444209beea77b0118aad3,34,KHXS20170522001022,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
193,2017/05/22 17:01:53,1a4f58b27c8843a4a4f3a77b0118aad3,34,KHXS20170522001022,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
194,2017/05/22 17:02:23,5d2f321ff9b84acea724a77b0118ce74,32,KHXS20170522001020,Article,30341,一升防冻液,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
195,2017/05/22 17:02:23,c10336c41c934de19420a77b0118ce74,32,KHXS20170522001020,Article,30315,508空调滤原厂,,,,0,,85,1,100,85,0,,0,1,91371100MA3DDG6A9X
196,2017/05/22 17:02:23,b175582709af420b9d09a77b0118ce74,32,KHXS20170522001020,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
197,2017/05/22 17:02:23,7f193d1869f3490eb042a77b0118ce74,32,KHXS20170522001020,Article,30318,机油9千,,,,0,,380,1,100,380,0,,0,1,91371100MA3DDG6A9X
198,2017/05/22 17:02:58,39810cc87c3e442e9845a77b0118f6d2,31,KHXS20170522001019,Article,30316,空调滤,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
199,2017/05/22 17:02:58,d02cb0b7f39b4fedb05ba77b0118f6d2,31,KHXS20170522001019,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
200,2017/05/22 17:02:58,63f93c51b80b4b0180cfa77b0118f6d2,31,KHXS20170522001019,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
201,2017/05/22 17:02:58,e5223a0bf7d74e35ab81a77b0118f6d2,31,KHXS20170522001019,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
202,2017/05/22 17:03:19,05b49403214a4234869ca77b01190f9c,30,KHXS20170522001018,Article,30342,空调系统清洗,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
203,2017/05/22 17:03:19,e51c076c8ba64a1a953ea77b01190f9c,30,KHXS20170522001018,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
204,2017/05/22 17:03:19,96ed6936be1444df8657a77b01190f9c,30,KHXS20170522001018,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
205,2017/05/22 17:03:19,150b71b939e8424ca875a77b01190f9c,30,KHXS20170522001018,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
206,2017/05/22 17:03:19,f45e0255f1f349198101a77b01190f9c,30,KHXS20170522001018,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
207,2017/05/22 17:03:41,c53fe5a46474461da7b5a77b01192969,29,KHXS20170522001017,Article,30332,防冻液,,,,0,,120,1,100,120,0,,0,1,91371100MA3DDG6A9X
208,2017/05/22 17:03:41,1b414a0d66a04ecd9fd2a77b01192969,29,KHXS20170522001017,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
209,2017/05/22 17:03:41,5bc67354fafb4b05ac1ca77b01192969,29,KHXS20170522001017,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
210,2017/05/22 17:03:41,759fa6ad664e48d0b15fa77b01192969,29,KHXS20170522001017,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
